Data Type,Example,Description
Integers,``4`` or ``0`` or ``-5``,Positive and negative whole numbers
Floats,``3.14``,Numbers with a decimal point 
Strings,``"Hello"`` or ``'2.5'``,Characters enclosed by single or double quotation marks
Booleans,``True`` or ``False``,Values representing true and false values


Example	Data Type	Try it
x = "Hello World"	str	
x = 20	int	
x = 20.5	float	
x = 1j	complex	
x = ["apple", "banana", "cherry"]	list	
x = ("apple", "banana", "cherry")	tuple	
x = range(6)	range	
x = {"name" : "John", "age" : 36}	dict	
x = {"apple", "banana", "cherry"}	set	
x = frozenset({"apple", "banana", "cherry"})	frozenset	
x = True	bool	
x = b"Hello"	bytes	
x = bytearray(5)	bytearray	
x = memoryview(bytes(5))	memoryview	
x = None	NoneType	
