Example,Data Type,Type Category,Mutability,Ordered,Structure
"text = ""Hello, World!""",str,Text Type,Immutable,Ordered,""""" or ''"
integer = 42,int,Numeric Type,Immutable,Unordered,integer literals
floating_point = 3.14,float,Numeric Type,Immutable,Unordered,decimal point
complex_number = 1 + 2j,complex,Numeric Type,Immutable,Unordered,real + imagj
"my_list = [1, 2, 3, 4]",list,Sequence Type,Mutable,Ordered,[]
"my_tuple = (1, 2, 3, 4)",tuple,Sequence Type,Immutable,Ordered,()
"my_range = range(1, 10)",range,Sequence Type,Immutable,Ordered,range()
"my_dict = {""name"": ""Anne"", ""age"": 28}",dict,Mapping Type,Mutable,Ordered,{} with key-value pairs
"my_set = {1, 2, 3, 4}",set,Set Type,Mutable,Unordered,{} with unique items
"my_frozenset = frozenset([1, 2, 3, 4])",frozenset,Set Type,Immutable,Unordered,frozenset() with unique items
is_valid = True,bool,Boolean Type,Immutable,Unordered,True or False
"my_bytes = b""Hello""",bytes,Binary Type,Immutable,Unordered,"b"""" or b''"
"my_ba = bytearray([65, 66, 67])",bytearray,Binary Type,Mutable,Unordered,bytearray()
"my_mv = memoryview(b""Hello"")",memoryview,Binary Type,Depends on the underlying object,Unordered,memoryview()
nothing = None,NoneType,None Type,Immutable,Unordered,None
