Year,Sex,Median age at death
2009,Males,77.8
2010,Males,78.2
2011,Males,78.3
2012,Males,78.7
2013,Males,78.3
2014,Males,78.5
2015,Males,78.7
2016,Males,78.9
2017,Males,78.8
2018,Males,78.9
2019,Males,79.2
2020,Males,78.9
2021,Males,79.6
2009,Females,83.9
2010,Females,84.2
2011,Females,84.5
2012,Females,84.6
2013,Females,84.6
2014,Females,84.8
2015,Females,85
2016,Females,85
2017,Females,85
2018,Females,84.8
2019,Females,85
2020,Females,84.6
2021,Females,84.9
2009,Persons,80.9
2010,Persons,81.3
2011,Persons,81.5
2012,Persons,81.8
2013,Persons,81.6
2014,Persons,81.8
2015,Persons,81.9
2016,Persons,81.9
2017,Persons,81.9
2018,Persons,81.7
2019,Persons,82
2020,Persons,81.7
2021,Persons,82.1
